"","rad_dada2_accession_all","Freq"
"212","ACGG81_RS03280",1
"213","LF145_RS02950",1
"214","H0I41_RS07675",1
"215","DRW42_RS28400",1
"216","BN6774_RS00050",1
"217","BLLJ_RS09670",1
"218","E0E29_RS14870",1
"219","C811_RS08450",1
"220","H8S34_RS14805",1
"221","R3O62_RS04480",1
"222","G163CM_RS17290",1
"223","BLQ27_RS08305",1
"224","BLQ27_RS22945",1
"225","GSR62_RS07220",1
"226","GSR62_RS08830",1
"227","CP523_RS06695",1
"228","CP523_RS06840",1
"229","CP523_RS07725",1
"230","CP523_RS07800",1
"231","CP523_RS08710",1
"232","Bovatus_RS11805",1
"233","QMP28_RS16375",1
"234","QK892_RS01685",1
"235","EZ315_RS06805",1
"236","NQ528_RS13375",1
"237","NQ528_RS17370",1
"238","DY260_RS00975",1
"239","H9564_RS09005",1
"240","ACK2V3_RS04355",1
"241","NQ487_RS01865",1
"242","LGAS_RS07795",1
"243","LGAS_RS07970",1
"244","LGAS_RS08855",1
"245","BacF7301_RS01250",1
"246","BacF7301_RS01910",1
"247","BacF7301_RS08410",1
"248","BacF7301_RS21130",1
"249","GXM20_RS16635",1
"250","NFR46_RS09355",1
"251","INE92_RS16095",1
"252","LA347_RS17510",1
"253","BFN07_RS06525",1
"254","BFN07_RS06845",1
"255","BUB96_RS10090",1
"256","SD1D_RS10785",1
"257","H8S51_RS00510",1
"258","H8S51_RS02540",1
"259","ACZ5C4_RS12785",1
"260","ACFWHB_RS17370",1
"261","MWL92_RS00925",1
"262","MWL92_RS03045",1
"263","LpgJCM5343_RS07840",1
"264","BEN51_RS00080",1
"265","BEN51_RS11760",1
"266","BEN51_RS12835",1
"267","BEN51_RS12910",1
"268","BEN51_RS13000",1
"269","ECs_R0017",1
"270","RGna_RS15350",1
"271","H1A07_RS02450",1
"272","H1A07_RS07700",1
"273","H1A07_RS08820",1
"274","BN6539_RS17255",1
"275","GQR93_RS09980",1
"276","AACH31_RS00005",1
"277","NQ560_RS02450",1
"278","QM512_RS06765",1
"279","QM512_RS07990",1
"280","QM512_RS08020",1
"281","BBBR_RS06865",1
"282","GTQ34_RS16760",1
"283","ACYVD3_RS09225",1
"284","RIL182_RS00115",1
"285","ACYQ1T_RS05155",1
"286","ACYQ1T_RS06130",1
"287","QFX10_RS00680",1
"288","QFX10_RS06450",1
"289","NF347_RS01595",1
"290","H5R88_RS08815",1
"291","CZ502_RS07790",1
"292","H171_RS17265",1
"293","H171_RS19350",1
"294","H171_RS23945",1
"295","J8I93_RS19140",1
"296","VIG27_RS00985",1
"297","EDD59_RS17595",1
"298","VE26_RS00190",1
"299","C1A07_RS11175",1
"300","C1A07_RS11890",1
"301","CSX02_RS08865",1
"302","BXY41_RS26535",1
"303","BLR69_RS18455",1
"304","BLR69_RS25075",1
"305","CPH89_RS13755",1
"306","BACCAP_RS18120",1
"307","U8U68_RS21380",1
"308","HMPREF0273_RS20160",1
"309","NQ535_RS19140",1
"310","NQ535_RS24175",1
"311","NQ535_RS28485",1
"312","BP20092_RS02905",1
"313","PRK60_RS00205",1
"314","OCV69_RS16570",1
"315","BTM20_RS00885",1
"316","BTM20_RS01695",1
"317","BTM20_RS12375",1
"318","H5R64_RS01090",1
"319","BN55_RS08360",1
"320","b3756",1
"321","b3968",1
"322","N4627_RS01275",1
"323","AB6B37_RS01935",0
"324","KK102_RS15670",0
"325","KK102_RS22065",0
"326","KK102_RS22085",0
"327","KK102_RS22140",0
"328","KK102_RS22145",0
"329","KK102_RS22435",0
"330","THECO_RS01580",0
"331","THECO_RS07435",0
"332","THECO_RS14125",0
"333","THECO_RS17145",0
"334","THECO_RS18230",0
"335","C231_RS0101875",0
"336","C231_RS0105965",0
"337","C231_RS0106315",0
"338","C231_RS0107250",0
"339","C231_RS0107430",0
"340","FW767_RS11870",0
"341","FW767_RS11950",0
"342","FW767_RS12860",0
"343","FW767_RS12990",0
"344","FW767_RS13005",0
"345","ACIRQ6_RS00410",0
"346","ACI3L1_RS13825",0
"347","ACI3L1_RS19620",0
"348","ACI3L1_RS19665",0
"349","JQ848_RS02425",0
"350","JQ848_RS15610",0
"351","JQ848_RS18995",0
"352","JQ848_RS19010",0
"353","JQ848_RS19735",0
"354","JQ848_RS19750",0
"355","JQ848_RS22100",0
"356","JQ848_RS22115",0
"357","ABD466_RS44125",0
"358","JSY38_RS01120",0
"359","JSY38_RS04330",0
"360","JSY38_RS05590",0
"361","JSY38_RS05840",0
"362","JSY38_RS07340",0
"363","JSY38_RS08045",0
"364","JSY38_RS08445",0
"365","JSY38_RS11785",0
"366","U472_RS16030",0
"367","BJ960_RS02230",0
"368","BJ960_RS06515",0
"369","BJ960_RS15490",0
"370","H7828_RS19575",0
"371","H7828_RS22365",0
"372","H7828_RS22390",0
"373","N8K70_RS02340",0
"374","N8K70_RS04485",0
"375","N8K70_RS11370",0
"376","ABEV74_RS13015",0
"377","ABEV74_RS14960",0
"378","ABEV74_RS15740",0
"379","DKP76_RS10920",0
"380","JOE62_RS01820",0
"381","JOE62_RS01870",0
"382","JOE62_RS02225",0
"383","JOE62_RS04075",0
"384","JOE62_RS04115",0
"385","JOE62_RS07115",0
"386","PYV02_RS07935",0
"387","ACW4YW_RS15530",0
"388","ACW4YW_RS15575",0
"389","ACW4YW_RS15595",0
"390","BMZ66_RS24975",0
"391","BMZ66_RS06445",0
"392","BMZ66_RS18650",0
"393","BMZ66_RS11695",0
"394","IQ282_RS00230",0
"395","BACHE_RS00715",0
"396","BACHE_RS01085",0
